"LD1" "LD2" "LD3" "LD4"
"var1" 0.187330458783464 0.405376156350156 -0.852516906377741 0.0640912826638707
"var2" -1.07371412668143 -0.655016911725365 0.11394324927322 0.0176412397451878
"var3" -1.59748386703884 0.755592678369176 -0.533626379833128 -0.00889310923712896
"var4" 1.38992624543054 -1.20508975345841 0.152162034268499 -0.0128843573230145
"var5" 0.136456274262906 1.4373746930637 0.274322625726126 -0.00535287404615565
"var6" -0.637609132147656 -0.0320640893703154 0.582949324241565 0.0503298559600052
"var7" -0.613377711907366 0.0535430307532629 0.90012460148909 -0.0397744610930392
"var8" -0.737772707230973 -1.08310332590694 -0.83725564171345 0.0159762688563965
"var9" 1.4588515108754 0.254500477626691 0.219342830812327 -0.0091763786873163
"var10" 0.368373254933381 -1.59486014384897 0.0442706693240115 0.0148297473203235
"var11" 0.318979959406887 0.202095195056309 0.0386539418762284 -0.116241313169967
"var12" -0.0884690888519971 -0.0511372408399581 -0.126503435374023 0.112178882422572
"var13" 0.272963136591166 -0.202554848797476 -0.0186833301929327 0.394351191307502
"var14" 0.196253048297553 -0.0413377953366315 0.197070152925702 0.473785461192533
"var15" 0.196487581837859 0.178090163765767 0.159851718773054 -0.4234926830891
"var16" 0.319431277017034 -0.0344713846253361 0.255408537290292 -0.18046886036936
"var17" 0.118456742551464 0.0694022892706211 -0.308578920573675 0.120283679997461
"var18" -0.111577550993299 0.152974602588748 -0.0146050764772513 0.430261126928887
"var19" 0.297753649252571 -0.108455091292249 0.02008816750237 -0.182079798926506
"var20" 0.0948802138058066 0.0842646742365774 0.350670979702104 0.20838432897653
