"LD1" "LD2" "LD3"
"var1" 0.124338442127584 1.31411549491578 0.144579109185583
"var2" -1.30546629638656 -0.159394620883371 0.392784714288577
"var3" -0.681087304256403 -0.956964465769496 -0.606904302634655
"var4" 0.121825947056795 -0.125714174787819 0.404534272430507
"var5" -1.60058687190963 -0.215085297370853 -0.311980983902614
"var6" -1.44998142337096 0.453249861624687 -0.693498856564915
"var7" 1.29089644027023 1.20500373782242 -0.812016529600654
"var8" -0.0424877653174004 0.507539445431889 0.728579806448558
"var9" 0.759503595054617 -1.21555990870113 1.24057637324652
"var10" 0.736049273639825 0.181603365528843 -0.892155629324017
"var11" 0.075157095196985 -0.184386624807205 0.0089360456577962
"var12" -0.0499590218029813 0.303995055062657 -0.135384434670212
"var13" 0.0454202143404484 -0.110363300599349 0.216886947356125
"var14" -0.172492487805473 0.213519947958104 0.0932992941308267
"var15" -0.0811025626565353 0.191786266661247 0.129743543283703
"var16" 0.0329889295614349 0.013809786621515 0.16300254930544
"var17" 0.124749416215283 -0.542475117063544 -0.173771814228898
"var18" 0.0399231827678793 0.119100247880818 -0.0285038911291187
"var19" -0.0491737329744856 -0.0765395127039284 -0.263708912610491
"var20" 0.0399236967561305 -0.149988928360283 0.191889659455193
