"LD1" "LD2"
"var1" -0.266862739514929 0.969037161124866
"var2" 1.25176912414124 -0.179799946348719
"var3" 1.19124477647429 0.783978564874706
"var4" -0.789175057119853 -0.475132123104661
"var5" -0.731252044971563 0.0063780896516267
"var6" 0.559141481961107 -0.552905318748508
"var7" 0.491058750657609 -0.864385631525151
"var8" 1.18102534231753 0.683734435908867
"var9" -1.46101790353117 -0.259113979252442
"var10" 0.315598789295782 -0.383576765766815
"var11" -0.446319983974152 -0.0973550780667078
"var12" 0.115062007602747 0.0995660535219634
"var13" -0.155414914659918 -0.0126440419691607
"var14" -0.131697123798256 -0.199627302291172
"var15" -0.260872344691449 -0.177068611122495
"var16" -0.23820137779969 -0.124449849875411
"var17" -0.178877243428628 0.186287064745556
"var18" 0.00466610103099683 0.0973557401617563
"var19" -0.155439624286778 0.0642031727347485
"var20" -0.116475387295276 -0.30015438474805
