"LD1" "LD2" "LD3"
"var1" -0.0386934418543108 -0.484585580559482 0.907706675298356
"var2" 0.991891826217214 0.777135637509505 -0.118430027993531
"var3" 1.7789109931591 -0.607882112030241 0.536833693358901
"var4" -1.60821257139666 1.06685673657594 -0.143210298668857
"var5" 0.0684558145303334 -1.45357585406575 -0.283712328603708
"var6" 0.60454513539501 0.122496569976414 -0.598012041193094
"var7" 0.584352387800024 0.0454449819704446 -0.932533254301069
"var8" 0.649172837115147 1.13118698393363 0.870664385822723
"var9" -1.46563994076635 -0.403718366293874 -0.220440723366519
"var10" -0.620991761709568 1.56561146533256 -0.035906538628449
"var11" -0.414495455133569 -0.173889722050404 -0.098851630728862
"var12" 0.0929796655454295 0.0622817807512363 0.106875614379656
"var13" -0.283828537438619 0.15466647170679 0.0415744248535456
"var14" -0.146860710971949 -0.00387251724854106 -0.194000813124818
"var15" -0.190515681801146 -0.175344582489071 -0.200546141497137
"var16" -0.22891727325877 -0.0768939991521977 -0.123731410887857
"var17" -0.208504720921968 -0.0162769189383751 0.206788719683699
"var18" 0.098594092000564 -0.149666681561838 0.0626435985721957
"var19" -0.185303938798457 -0.00241131914847431 0.0816268971131394
"var20" -0.0549371128655371 -0.112921208389907 -0.32688054079761
