"LD1" "LD2"
"var1" 0.147566802297223 0.689149375353943
"var2" -1.00797864609712 -0.870627059811847
"var3" -1.90208888852601 0.582502716642338
"var4" 1.83901643727091 -0.95060390220228
"var5" -0.284006740668997 1.34874634053203
"var6" -0.844795452489706 -0.335010462940449
"var7" -0.775925162488753 -0.326959153488995
"var8" -0.386989957117221 -0.942071189987933
"var9" 1.49086971726713 0.454742072788861
"var10" 0.870129075948402 -1.48749568813359
"var11" 0.10551132407934 0.0967729506250676
"var12" -0.0314618564257456 -0.00291478839481305
"var13" 0.0767424902528084 -0.0644350290738252
"var14" 0.0242142479526964 -0.105760478337316
"var15" 0.0770350418504094 0.0561133650547399
"var16" 0.0625659894139935 0.021279908597948
"var17" 0.138951856499952 0.0793203741523806
"var18" -0.000911143530842526 0.142051687296266
"var19" 0.0935593466033091 0.0677918378162475
"var20" 0.00672273030428793 -0.0906963679258955
