"LD1" "LD2"
"var1" -0.147566802297224 0.689149375353943
"var2" 1.00797864609712 -0.870627059811849
"var3" 1.90208888852602 0.582502716642336
"var4" -1.83901643727091 -0.950603902202276
"var5" 0.284006740669003 1.34874634053203
"var6" 0.844795452489707 -0.335010462940449
"var7" 0.775925162488752 -0.326959153488997
"var8" 0.386989957117219 -0.942071189987934
"var9" -1.49086971726713 0.454742072788863
"var10" -0.870129075948406 -1.48749568813359
"var11" -0.105511324079339 0.0967729506250682
"var12" 0.0314618564257456 -0.0029147883948129
"var13" -0.0767424902528075 -0.0644350290738246
"var14" -0.0242142479526972 -0.105760478337317
"var15" -0.0770350418504089 0.0561133650547401
"var16" -0.0625659894139936 0.0212799085979482
"var17" -0.138951856499952 0.0793203741523808
"var18" 0.000911143530842498 0.142051687296267
"var19" -0.0935593466033091 0.0677918378162477
"var20" -0.00672273030428716 -0.0906963679258952
